endTime,artistName,trackName,msPlayed
2020-10-18 04:03,Taylor Swift,invisible string,252880
2020-10-18 04:06,Taylor Swift,mirrorball,208973
2020-10-18 04:10,Taylor Swift,mad woman,237266
2020-10-18 04:18,Benjamin Biolay,J’ai ta main,26145
2020-10-18 04:18,Taylor Swift,hoax,99331
2020-10-18 04:22,Carla Bruni,Le temps perdu,165960
2020-10-18 04:25,Stéphanie Crayencour,La fille qui sourit de chagrin,215133
2020-10-18 04:29,Vanessa Paradis,L'Au-Delà,199026
2020-10-18 04:32,Cora Vaucaire,Quand tu dors,187373
2020-10-18 04:41,Vanessa Paradis,La Seine - Extrait de la bande originale un monstre à Paris,62245
2020-10-20 20:18,Wheatus,Teenage Dirtbag,241840
2020-10-20 20:21,Three Days Grace,Never Too Late,209333
2020-10-20 20:22,The Killers,Mr. Brightside,11947
2020-10-20 20:24,My Chemical Romance,Teenagers,161920
2020-10-20 20:37,New Radicals,You Get What You Give,210632
2020-10-20 23:02,New Radicals,You Get What You Give,8568
2020-10-20 23:07,Nirvana,Heart-Shaped Box,281160
2020-10-20 23:11,System Of A Down,Chop Suey!,210240
2020-10-20 23:15,Foo Fighters,Everlong,250546
2020-10-20 23:18,Fall Out Boy,Thnks fr th Mmrs,201094
2020-10-21 19:58,Third Eye Blind,Jumper - 1998 Edit,75789
2020-10-21 19:58,Escape the Fate,Situations,2345
2020-10-21 20:00,Fall Out Boy,"Sugar, We're Goin Down",835
2020-10-21 20:00,The All-American Rejects,Dirty Little Secret,113475
2020-10-21 20:03,Fountains Of Wayne,Stacy's Mom,197986
2020-10-21 20:05,blink-182,All The Small Things,108272
2020-10-21 20:47,blink-182,All The Small Things,1114
2020-10-21 20:50,Simple Plan,Welcome to My Life,206773
2020-10-21 20:54,Avril Lavigne,Sk8er Boi,204000
2020-10-21 20:57,Paramore,crushcrushcrush,189373
2020-10-21 21:00,Backstreet Boys,I Want It That Way,213306
2020-10-21 21:09,Green Day,Holiday / Boulevard of Broken Dreams,493400
2020-10-21 21:10,Rise Against,Savior,70678
2020-10-22 22:07,Rise Against,Savior,171640
2020-10-22 22:11,Rise Against,Prayer Of The Refugee,199386
2020-10-22 22:15,Oasis,Wonderwall,258906
2020-10-22 22:19,The Fray,You Found Me,241853
2020-10-22 22:25,The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012,49206
2020-10-22 23:02,The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012,209159
2020-10-22 23:05,The Offspring,"You're Gonna Go Far, Kid",177826
2020-10-22 23:43,My Chemical Romance,Welcome to the Black Parade,31922
2020-10-24 13:36,My Chemical Romance,Welcome to the Black Parade,23916
2020-10-24 23:11,My Chemical Romance,Welcome to the Black Parade,255256
2020-10-24 23:14,Linkin Park,Numb,185586
2020-10-24 23:17,Falling In Reverse,Good Girls Bad Guys,195373
2020-10-24 23:20,The Offspring,The Kids Aren't Alright,180160
2020-10-24 23:23,Foo Fighters,Learn to Fly,4272
2020-10-24 23:23,Beck,Loser,136102
2020-10-24 23:23,Paramore,That's What You Get,4551
2020-10-24 23:27,Nine Days,Absolutely (Story of a Girl) - Radio Mix,189333
2020-10-24 23:27,Snow Patrol,Chasing Cars,2288
2020-10-24 23:31,Falling In Reverse,The Drug In Me Is You,218786
2020-10-24 23:36,Red Hot Chili Peppers,Californication,329733
2020-10-24 23:40,Incubus,Drive,232453
2020-10-24 23:44,blink-182,I Miss You,227240
2020-10-24 23:45,3 Doors Down,When I'm Gone,64081
2020-10-25 22:19,3 Doors Down,When I'm Gone,7500
2020-10-25 22:20,The All-American Rejects,"Swing, Swing",11261
2020-10-25 22:33,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,137229
2020-10-25 22:37,Bowling For Soup,1985,193000
2020-10-25 22:40,Three Days Grace,Animal I Have Become,231400
2020-10-25 22:41,Lit,Miserable,11971
2020-10-25 22:44,The Killers,When You Were Young,220426
2020-10-25 22:46,Sugarcult,Bouncing Off The Walls,110469
2020-10-27 20:28,Yellowcard,Ocean Avenue,2043
2020-10-27 20:28,Pierce The Veil,Bulletproof Love,766
2020-10-27 20:28,Sugarcult,Bouncing Off The Walls,1439
2020-10-27 20:28,Nirvana,Lithium,2252
2020-10-27 20:28,Nirvana,Lithium,2275
2020-10-27 20:32,Pierce The Veil,Bulletproof Love,237400
2020-10-27 20:35,Sum 41,Fat Lip,178266
2020-10-27 20:38,Three Days Grace,Just Like You,186893
2020-10-27 20:39,Radiohead,Creep,42964
2020-10-27 20:39,Forever The Sickest Kids,What Do You Want From Me,11122
2020-10-27 20:42,Green Day,American Idiot,176346
2020-10-27 20:45,All Time Low,"Dear Maria, Count Me In",182826
2020-10-27 20:48,Green Day,Basket Case,181533
2020-10-27 20:52,The Offspring,Self Esteem,257760
2020-10-27 20:54,Hole,Celebrity Skin,90948
2020-10-27 23:04,Hole,Celebrity Skin,71933
2020-10-27 23:05,Incubus,Stellar,26088
2020-10-27 23:08,Three Days Grace,Pain,202973
2020-10-27 23:12,3 Doors Down,Kryptonite,233933
2020-10-27 23:15,Lit,My Own Worst Enemy,169026
2020-10-27 23:20,Red Hot Chili Peppers,Otherside,252471
2020-10-28 20:14,Red Hot Chili Peppers,Otherside,3036
2020-10-28 20:17,Sum 41,In Too Deep,207093
2020-10-28 20:21,Weezer,Say It Ain't So,258826
2020-10-28 20:27,Mayday Parade,Miserable At Best,316986
2020-10-28 20:30,Three Days Grace,Over and Over,191906
2020-10-28 20:35,Third Eye Blind,Semi-Charmed Life,268360
2020-10-28 20:40,Red Hot Chili Peppers,Give It Away,282906
2020-10-28 20:41,New Found Glory,My Friends Over You,104344
2020-10-28 20:45,My Chemical Romance,I'm Not Okay (I Promise),186480
2020-10-28 20:48,Three Days Grace,Gone Forever,221093
2020-10-28 20:51,Jimmy Eat World,Bleed American,38173
2020-10-28 20:51,3 Doors Down,Be Like That,140067
2020-10-28 20:54,Jimmy Eat World,Bleed American,143338
